cellMarker,shortname
CAPN2,T Cell
CASP8,T Cell
CD300A,T Cell
CEP78,T Cell
CX3CR1,T Cell
DSTN,T Cell
EFHD2,T Cell
EMP3,T Cell
FCGR3A,T Cell
FCGR3B,T Cell
FCRL6,T Cell
FGFBP2,T Cell
FGR,T Cell
FLNA,T Cell
FUT11,T Cell
GAB3,T Cell
GK5,T Cell
GLUL,T Cell
GNLY,T Cell
GZMB,T Cell
GZMH,T Cell
ITGAM,T Cell
KCNAB2,T Cell
KLRD1,T Cell
KLRF1,T Cell
LGALS1,T Cell
LILRB1,T Cell
LITAF,T Cell
LLGL2,T Cell
LPCAT1,T Cell
LUZP6,T Cell
MBP,T Cell
MTSS1,T Cell
MYO1F,T Cell
MYO1G,T Cell
OSBPL5,T Cell
PATL2,T Cell
PIK3R5,T Cell
PLEK,T Cell
PLEKHG3,T Cell
PRKCB,T Cell
PRSS23,T Cell
PXN,T Cell
RAP1B,T Cell
RAP1GAP2,T Cell
RAP2B,T Cell
RASSF1,T Cell
RGS19,T Cell
RNF166,T Cell
S1PR5,T Cell
SAMD3,T Cell
SH3BP5,T Cell
SH3BP5-AS1,T Cell
SLC2A1,T Cell
SLC9A3R1,T Cell
SLCO4C1,T Cell
SPON2,T Cell
SRPK2,T Cell
STK10,T Cell
SYNE1,T Cell
TAGLN2,T Cell
TBX21,T Cell
TGFBR3,T Cell
TM4SF19,T Cell
TM4SF19-TCTEX1D2,T Cell
TPST2,T Cell
TTC16,T Cell
TTC38,T Cell
USP28,T Cell
VCL,T Cell
VEZF1,T Cell
WDR37,T Cell
ZEB2,T Cell
ZEB2-AS1,T Cell
ZNF600,T Cell
ABLIM1,T Cell
ACTN1,T Cell
C1orf162,T Cell
CCR7,T Cell
CD55,T Cell
EEF1B2,T Cell
EIF3L,T Cell
FAM117B,T Cell
FHIT,T Cell
GIMAP5,T Cell
GIMAP8,T Cell
GPR183,T Cell
IL7R,T Cell
LDLRAP1,T Cell
LRRN3,T Cell
MAL,T Cell
MYC,T Cell
NELL2,T Cell
NOSIP,T Cell
PRKCA,T Cell
RPS5,T Cell
RSL1D1,T Cell
SATB1,T Cell
SERINC5,T Cell
SLC40A1,T Cell
SVIL,T Cell
TCF7,T Cell
TESPA1,T Cell
TMEM204,T Cell
TRABD2A,T Cell
TSHZ2,T Cell
TXK,T Cell
ANXA2P2,T Cell
ATP2B1,T Cell
B3GNT2,T Cell
BIRC3,T Cell
CASP2,T Cell
CCDC141,T Cell
CCM2,T Cell
CCR10,T Cell
CCR4,T Cell
CCR8,T Cell
CLDND1,T Cell
CORO7,T Cell
CORO7-PAM16,T Cell
CPNE2,T Cell
ELK3,T Cell
F5,T Cell
FAM110A,T Cell
FANK1,T Cell
FCMR,T Cell
FCRL3,T Cell
FOXP3,T Cell
GLRX,T Cell
HAPLN3,T Cell
HPGD,T Cell
IKZF2,T Cell
IL10RA,T Cell
IL2RA,T Cell
ISG20,T Cell
LMNA,T Cell
METTL7A,T Cell
PDP1,T Cell
PI16,T Cell
REREP3,T Cell
RNF214,T Cell
RTKN2,T Cell
SAMHD1,T Cell
SELPLG,T Cell
SNX20,T Cell
STAM,T Cell
TBC1D4,T Cell
TLDC2,T Cell
TRIM16,T Cell
TTC39C,T Cell
TTN,T Cell
USP15,T Cell
C1orf228,T Cell
C6orf48,T Cell
FAM60A,T Cell
GLTSCR2,T Cell
LRRC75A-AS1,T Cell
C6orf48,T Cell
LRRC75A-AS1,T Cell
