cellMarker,shortname
JCHAIN,B Cell
KRTCAP2,B Cell
LY6D,B Cell
MANF,B Cell
MEF2C,B Cell
MS4A1,B Cell
MZB1,B Cell
PAFAH1B3,B Cell
PAX5,B Cell
POLD4,B Cell
POU2AF1,B Cell
PRDX4,B Cell
PTP4A3,B Cell
RALGPS2,B Cell
REXO2,B Cell
SCD1,B Cell
SDF2L1,B Cell
SEC11C,B Cell
SEC61A1,B Cell
SEC61B,B Cell
SERP1,B Cell
SIGLECG,B Cell
SLPI,B Cell
SMAP2,B Cell
SNX2,B Cell
SPCS3,B Cell
SPIB,B Cell
SRP9,B Cell
SSR4,B Cell
TNFRSF13B,B Cell
TNFRSF13C,B Cell
TNFRSF17,B Cell
TRP53INP1,B Cell
TXNDC11,B Cell
TXNDC5,B Cell
VPREB3,B Cell
XBP1,B Cell
BCL11B,T Cell
CXCR6,T Cell
FAM189B,T Cell
GIMAP3,T Cell
RPS18-PS6,T Cell
IL7R,T Cell
ITK,T Cell
LEF1,T Cell
LTB,T Cell
RAPGEF6,T Cell
RASGRP1,T Cell
RPL12,T Cell
RPLP1,T Cell
RPS16,T Cell
RPS23,T Cell
RPS4X,T Cell
SATB1,T Cell
SOCS2,T Cell
TPT1,T Cell
CAP1,Killer Cell
CCL5,Killer Cell
CCND2,Killer Cell
CHSY1,Killer Cell
CMA1,Killer Cell
CST7,Killer Cell
CTLA2B,Killer Cell
CTSW,Killer Cell
DAPK2,Killer Cell
DOK2,Killer Cell
DUSP2,Killer Cell
FASL,Killer Cell
GEM,Killer Cell
GM19585,Killer Cell
GZMA,Killer Cell
GZMB,Killer Cell
HSD11B1,Killer Cell
IFITM10,Killer Cell
IL18RAP,Killer Cell
IRF8,Killer Cell
ITGB2,Killer Cell
JAK1,Killer Cell
KLRA1,Killer Cell
KLRA4,Killer Cell
KLRA7,Killer Cell
KLRA8,Killer Cell
KLRA9,Killer Cell
KLRB1A,Killer Cell
KLRB1B,Killer Cell
KLRB1C,Killer Cell
KLRB1F,Killer Cell
KLRC1,Killer Cell
KLRC2,Killer Cell
KLRD1,Killer Cell
KLRE1,Killer Cell
KLRK1,Killer Cell
LAMB3,Killer Cell
LFNG,Killer Cell
NCR1,Killer Cell
NKG7,Killer Cell
POLE4,Killer Cell
PRF1,Killer Cell
SAMD3,Killer Cell
TBX21,Killer Cell
TXK,Killer Cell
UGCG,Killer Cell
VPS37B,Killer Cell
ACAT1,Collecting Duct Intercalated Cell
ACO2,Collecting Duct Intercalated Cell
ALDH1L1,Collecting Duct Intercalated Cell
ALDOA,Collecting Duct Intercalated Cell
APLP2,Collecting Duct Intercalated Cell
AQP6,Collecting Duct Intercalated Cell
ATP12A,Collecting Duct Intercalated Cell
ATP1B1,Collecting Duct Intercalated Cell
ATP6AP1,Collecting Duct Intercalated Cell
ATP6AP2,Collecting Duct Intercalated Cell
ATP6V0A4,Collecting Duct Intercalated Cell
ATP6V0B,Collecting Duct Intercalated Cell
ATP6V0C,Collecting Duct Intercalated Cell
ATP6V0D2,Collecting Duct Intercalated Cell
ATP6V0E,Collecting Duct Intercalated Cell
ATP6V1A,Collecting Duct Intercalated Cell
ATP6V1B1,Collecting Duct Intercalated Cell
ATP6V1C2,Collecting Duct Intercalated Cell
ATP6V1D,Collecting Duct Intercalated Cell
ATP6V1E1,Collecting Duct Intercalated Cell
ATP6V1G3,Collecting Duct Intercalated Cell
ATP6V1H,Collecting Duct Intercalated Cell
AVPR1A,Collecting Duct Intercalated Cell
CAR12,Collecting Duct Intercalated Cell
CAR2,Collecting Duct Intercalated Cell
CHCHD10,Collecting Duct Intercalated Cell
CKMT1,Collecting Duct Intercalated Cell
CLCN5,Collecting Duct Intercalated Cell
CLCNKB,Collecting Duct Intercalated Cell
COX6A1,Collecting Duct Intercalated Cell
COX6B1,Collecting Duct Intercalated Cell
COX7A2,Collecting Duct Intercalated Cell
CPSF4L,Collecting Duct Intercalated Cell
CYC1,Collecting Duct Intercalated Cell
CYCS,Collecting Duct Intercalated Cell
CYSTM1,Collecting Duct Intercalated Cell
DAB2,Collecting Duct Intercalated Cell
DEFB1,Collecting Duct Intercalated Cell
DKK3,Collecting Duct Intercalated Cell
EFHD1,Collecting Duct Intercalated Cell
EMB,Collecting Duct Intercalated Cell
EPS8,Collecting Duct Intercalated Cell
FAM13A,Collecting Duct Intercalated Cell
FOXI1,Collecting Duct Intercalated Cell
FSTL1,Collecting Duct Intercalated Cell
GADD45G,Collecting Duct Intercalated Cell
GM10053,Collecting Duct Intercalated Cell
GM10221,Collecting Duct Intercalated Cell
GUCA2A,Collecting Duct Intercalated Cell
HEPACAM2,Collecting Duct Intercalated Cell
HES1,Collecting Duct Intercalated Cell
HEXB,Collecting Duct Intercalated Cell
HMX2,Collecting Duct Intercalated Cell
HOOK3,Collecting Duct Intercalated Cell
ID2,Collecting Duct Intercalated Cell
INSRR,Collecting Duct Intercalated Cell
ITM2B,Collecting Duct Intercalated Cell
ITPR2,Collecting Duct Intercalated Cell
KIT,Collecting Duct Intercalated Cell
LDHB,Collecting Duct Intercalated Cell
LGALS3,Collecting Duct Intercalated Cell
MCOLN3,Collecting Duct Intercalated Cell
MDH1,Collecting Duct Intercalated Cell
MKKS,Collecting Duct Intercalated Cell
MME,Collecting Duct Intercalated Cell
NCOA7,Collecting Duct Intercalated Cell
NDUFV2,Collecting Duct Intercalated Cell
OCIAD2,Collecting Duct Intercalated Cell
PAM,Collecting Duct Intercalated Cell
PARM1,Collecting Duct Intercalated Cell
PDE1A,Collecting Duct Intercalated Cell
PGRMC1,Collecting Duct Intercalated Cell
PPARGC1A,Collecting Duct Intercalated Cell
PPFIBP2,Collecting Duct Intercalated Cell
PRDX5,Collecting Duct Intercalated Cell
RALGAPA2,Collecting Duct Intercalated Cell
RCAN2,Collecting Duct Intercalated Cell
RGS2,Collecting Duct Intercalated Cell
RHCG,Collecting Duct Intercalated Cell
RNF152,Collecting Duct Intercalated Cell
S100A1,Collecting Duct Intercalated Cell
S100G,Collecting Duct Intercalated Cell
SCAND1,Collecting Duct Intercalated Cell
SDHD,Collecting Duct Intercalated Cell
SEC23B,Collecting Duct Intercalated Cell
SERPINB6B,Collecting Duct Intercalated Cell
SERPINB9,Collecting Duct Intercalated Cell
SGK1,Collecting Duct Intercalated Cell
SLC25A5,Collecting Duct Intercalated Cell
SLC26A4,Collecting Duct Intercalated Cell
SLC4A9,Collecting Duct Intercalated Cell
SLC9A3R1,Collecting Duct Intercalated Cell
SOD2,Collecting Duct Intercalated Cell
SYN2,Collecting Duct Intercalated Cell
TACC2,Collecting Duct Intercalated Cell
TDRP,Collecting Duct Intercalated Cell
TFCP2L1,Collecting Duct Intercalated Cell
TINAGL1,Collecting Duct Intercalated Cell
TMBIM4,Collecting Duct Intercalated Cell
TMEM117,Collecting Duct Intercalated Cell
TMEM213,Collecting Duct Intercalated Cell
TUBB2A,Collecting Duct Intercalated Cell
UQCR11,Collecting Duct Intercalated Cell
PLET1,Collecting Duct Principal Cell
ADH1,Collecting Duct Principal Cell
AIF1L,Collecting Duct Principal Cell
AKR1B3,Collecting Duct Principal Cell
AKR1C19,Collecting Duct Principal Cell
AQP2,Collecting Duct Principal Cell
AQP3,Collecting Duct Principal Cell
AQP4,Collecting Duct Principal Cell
ARHGDIB,Collecting Duct Principal Cell
ATP1B1,Collecting Duct Principal Cell
AVPR2,Collecting Duct Principal Cell
BTC,Collecting Duct Principal Cell
CAV1,Collecting Duct Principal Cell
CDH16,Collecting Duct Principal Cell
CDKL1,Collecting Duct Principal Cell
CHPT1,Collecting Duct Principal Cell
CRYAB,Collecting Duct Principal Cell
CTSD,Collecting Duct Principal Cell
CYSTM1,Collecting Duct Principal Cell
EDARADD,Collecting Duct Principal Cell
EDNRB,Collecting Duct Principal Cell
ELF5,Collecting Duct Principal Cell
FOXQ1,Collecting Duct Principal Cell
FSTL1,Collecting Duct Principal Cell
FXYD2,Collecting Duct Principal Cell
FXYD4,Collecting Duct Principal Cell
GJB1,Collecting Duct Principal Cell
GSTA3,Collecting Duct Principal Cell
HSD11B2,Collecting Duct Principal Cell
HSD3B6,Collecting Duct Principal Cell
ID2,Collecting Duct Principal Cell
ID3,Collecting Duct Principal Cell
IGFBP7,Collecting Duct Principal Cell
IVNS1ABP,Collecting Duct Principal Cell
KRT18,Collecting Duct Principal Cell
KRT7,Collecting Duct Principal Cell
LDHA,Collecting Duct Principal Cell
LGALS3,Collecting Duct Principal Cell
MALAT1,Collecting Duct Principal Cell
MGST3,Collecting Duct Principal Cell
NEAT1,Collecting Duct Principal Cell
NPNT,Collecting Duct Principal Cell
PDZK1IP1,Collecting Duct Principal Cell
PHACTR1,Collecting Duct Principal Cell
PTGER1,Collecting Duct Principal Cell
RANBP3L,Collecting Duct Principal Cell
RHCG,Collecting Duct Principal Cell
SCG5,Collecting Duct Principal Cell
SCNN1B,Collecting Duct Principal Cell
SGK1,Collecting Duct Principal Cell
SPINK8,Collecting Duct Principal Cell
TACSTD2,Collecting Duct Principal Cell
TBX3,Collecting Duct Principal Cell
TUBB2A,Collecting Duct Principal Cell
ALCAM,Cortical Cell
ANK3,Cortical Cell
APRT,Cortical Cell
ATP1B1,Cortical Cell
CDCA7,Cortical Cell
CHCHD10,Cortical Cell
DKK1,Cortical Cell
ETL4,Cortical Cell
FIBIN,Cortical Cell
ID2,Cortical Cell
LIG1,Cortical Cell
MCM5,Cortical Cell
MEST,Cortical Cell
NASP,Cortical Cell
NSG1,Cortical Cell
PCNA,Cortical Cell
PCNA-PS2,Cortical Cell
PTN,Cortical Cell
S100G,Cortical Cell
TFRC,Cortical Cell
TSR1,Cortical Cell
6330403K07RIK,Medullary Cell
ACTA2,Medullary Cell
AKAP12,Medullary Cell
ALX1,Medullary Cell
ANGPT1,Medullary Cell
ARL4A,Medullary Cell
ATP2B1,Medullary Cell
BASP1,Medullary Cell
BGN,Medullary Cell
BOK,Medullary Cell
C430049B03RIK,Medullary Cell
CCDC80,Medullary Cell
CCND2,Medullary Cell
CD24A,Medullary Cell
CDH11,Medullary Cell
CDKN1C,Medullary Cell
CFH,Medullary Cell
CKB,Medullary Cell
CLDN11,Medullary Cell
CLMP,Medullary Cell
CMTM3,Medullary Cell
CNN2,Medullary Cell
COL14A1,Medullary Cell
COL15A1,Medullary Cell
COL16A1,Medullary Cell
COL1A1,Medullary Cell
COL1A2,Medullary Cell
COL23A1,Medullary Cell
COL3A1,Medullary Cell
COL4A1,Medullary Cell
COL4A2,Medullary Cell
COL5A1,Medullary Cell
COL6A1,Medullary Cell
COLEC12,Medullary Cell
CPQ,Medullary Cell
CSRP1,Medullary Cell
CTSL,Medullary Cell
CUX1,Medullary Cell
CXCL12,Medullary Cell
CXCL14,Medullary Cell
CYBA,Medullary Cell
DCLK1,Medullary Cell
DCN,Medullary Cell
DNAJC5,Medullary Cell
ECE1,Medullary Cell
EDN3,Medullary Cell
EFEMP2,Medullary Cell
EID1,Medullary Cell
ENPEP,Medullary Cell
EPHA4,Medullary Cell
FBLIM1,Medullary Cell
FBLN5,Medullary Cell
FILIP1L,Medullary Cell
FLRT2,Medullary Cell
FN1,Medullary Cell
FSTL1,Medullary Cell
GAS6,Medullary Cell
GLIPR2,Medullary Cell
GM1673,Medullary Cell
GNG2,Medullary Cell
HEPH,Medullary Cell
HOXA10,Medullary Cell
HOXA11,Medullary Cell
HOXA9,Medullary Cell
HOXD10,Medullary Cell
HOXD11,Medullary Cell
HSP90B1,Medullary Cell
HTRA3,Medullary Cell
ID4,Medullary Cell
IGFBP2,Medullary Cell
IGFBP4,Medullary Cell
KDELR3,Medullary Cell
KLHL13,Medullary Cell
LAMA2,Medullary Cell
LBH,Medullary Cell
LDB2,Medullary Cell
LEF1,Medullary Cell
LGALS1,Medullary Cell
LHFPL2,Medullary Cell
LMO4,Medullary Cell
LOX,Medullary Cell
LRRIQ1,Medullary Cell
LSP1,Medullary Cell
LTBP1,Medullary Cell
MAP1B,Medullary Cell
MEG3,Medullary Cell
MFAP4,Medullary Cell
MFAP5,Medullary Cell
MGLL,Medullary Cell
MLLT3,Medullary Cell
MMP2,Medullary Cell
MMP23,Medullary Cell
MYL9,Medullary Cell
MYLK,Medullary Cell
NAV3,Medullary Cell
NCALD,Medullary Cell
NCAM1,Medullary Cell
NEGR1,Medullary Cell
NEXN,Medullary Cell
NFAT5,Medullary Cell
NKAIN4,Medullary Cell
NKD1,Medullary Cell
NKD2,Medullary Cell
NNAT,Medullary Cell
NREP,Medullary Cell
NTM,Medullary Cell
NTS,Medullary Cell
OAF,Medullary Cell
OGFRL1,Medullary Cell
OGN,Medullary Cell
OLFML3,Medullary Cell
PALLD,Medullary Cell
PAM,Medullary Cell
PCDHGA9,Medullary Cell
PCOLCE,Medullary Cell
PDGFRA,Medullary Cell
PENK,Medullary Cell
PFN2,Medullary Cell
PJA1,Medullary Cell
PLA2G4A,Medullary Cell
PLCB1,Medullary Cell
PMP22,Medullary Cell
POSTN,Medullary Cell
PROM1,Medullary Cell
PRSS23,Medullary Cell
RAB34,Medullary Cell
RARB,Medullary Cell
RARRES2,Medullary Cell
RCN3,Medullary Cell
RHOJ,Medullary Cell
RRBP1,Medullary Cell
S100A10,Medullary Cell
SCT,Medullary Cell
SDC2,Medullary Cell
SDF4,Medullary Cell
SEMA3A,Medullary Cell
SEMA3C,Medullary Cell
SEMA5A,Medullary Cell
SFRP1,Medullary Cell
SMOC2,Medullary Cell
SPARC,Medullary Cell
SVIL,Medullary Cell
SYN3,Medullary Cell
TAGLN,Medullary Cell
TANC1,Medullary Cell
TBX3,Medullary Cell
TCF21,Medullary Cell
TEAD1,Medullary Cell
TGFB1I1,Medullary Cell
THBS1,Medullary Cell
THBS2,Medullary Cell
THSD4,Medullary Cell
THY1,Medullary Cell
TIMP3,Medullary Cell
TMEM47,Medullary Cell
TMSB4X,Medullary Cell
TMTC4,Medullary Cell
TNC,Medullary Cell
TPM1,Medullary Cell
TRPS1,Medullary Cell
TSC22D2,Medullary Cell
TSHZ3,Medullary Cell
WDR1,Medullary Cell
WNT11,Medullary Cell
WNT4,Medullary Cell
WNT5A,Medullary Cell
ZEB2,Medullary Cell
ZFP503,Medullary Cell
ZSWIM6,Medullary Cell
2810025M15RIK,Mesangial Cell
4930523C07RIK,Mesangial Cell
ABI2,Mesangial Cell
ACTA2,Mesangial Cell
ACTN4,Mesangial Cell
ADAM9,Mesangial Cell
ADAMTS5,Mesangial Cell
ADCY6,Mesangial Cell
AFAP1L2,Mesangial Cell
AGTR1A,Mesangial Cell
AIRN,Mesangial Cell
AKR1B7,Mesangial Cell
ALAD,Mesangial Cell
ANO1,Mesangial Cell
ANXA1,Mesangial Cell
AOC3,Mesangial Cell
APBB2,Mesangial Cell
APP,Mesangial Cell
ARID5B,Mesangial Cell
ARPC1B,Mesangial Cell
ARPC2,Mesangial Cell
ARPC5,Mesangial Cell
ART3,Mesangial Cell
ATP1B2,Mesangial Cell
BCAM,Mesangial Cell
BLMH,Mesangial Cell
BNIP2,Mesangial Cell
BTG1,Mesangial Cell
CALD1,Mesangial Cell
CALM1,Mesangial Cell
CAMTA1,Mesangial Cell
CBFA2T3,Mesangial Cell
CCND1,Mesangial Cell
CD151,Mesangial Cell
CD200,Mesangial Cell
CD248,Mesangial Cell
CD9,Mesangial Cell
CEP112,Mesangial Cell
CHP1,Mesangial Cell
CITED2,Mesangial Cell
COL4A1,Mesangial Cell
COL4A2,Mesangial Cell
CERT1,Mesangial Cell
CPD,Mesangial Cell
CPM,Mesangial Cell
CRIP1,Mesangial Cell
CRIP2,Mesangial Cell
CSNK1E,Mesangial Cell
CSPG4,Mesangial Cell
CSRP2,Mesangial Cell
CST3,Mesangial Cell
CYB5R3,Mesangial Cell
DAG1,Mesangial Cell
DBI,Mesangial Cell
DDAH1,Mesangial Cell
DES,Mesangial Cell
DKK2,Mesangial Cell
DSTN,Mesangial Cell
DUSP3,Mesangial Cell
EBF1,Mesangial Cell
EDNRB,Mesangial Cell
EFNB2,Mesangial Cell
EMID1,Mesangial Cell
EPAS1,Mesangial Cell
EPS8,Mesangial Cell
ESAM,Mesangial Cell
ETS1,Mesangial Cell
F2R,Mesangial Cell
FABP5,Mesangial Cell
FAM107B,Mesangial Cell
FAM162A,Mesangial Cell
FAM81A,Mesangial Cell
FERMT2,Mesangial Cell
FHL1,Mesangial Cell
FLNA,Mesangial Cell
FRMD6,Mesangial Cell
GATA3,Mesangial Cell
GJA5,Mesangial Cell
GJC1,Mesangial Cell
GM13889,Mesangial Cell
GNAI1,Mesangial Cell
GNAS,Mesangial Cell
GNG11,Mesangial Cell
HBEGF,Mesangial Cell
HES1,Mesangial Cell
HEYL,Mesangial Cell
HIP1,Mesangial Cell
HMG20B,Mesangial Cell
HMGCS2,Mesangial Cell
HOPX,Mesangial Cell
HS3ST3B1,Mesangial Cell
HSPB1,Mesangial Cell
HTATSF1,Mesangial Cell
IGF2,Mesangial Cell
IGFBP7,Mesangial Cell
IL13RA1,Mesangial Cell
ILK,Mesangial Cell
IQGAP1,Mesangial Cell
ITGA1,Mesangial Cell
ITGA4,Mesangial Cell
JAG1,Mesangial Cell
KCNJ8,Mesangial Cell
KLF7,Mesangial Cell
LGALSL,Mesangial Cell
LIMCH1,Mesangial Cell
LIMD1,Mesangial Cell
LMNA,Mesangial Cell
LMO7,Mesangial Cell
LPP,Mesangial Cell
MAP3K7CL,Mesangial Cell
MCAM,Mesangial Cell
MECOM,Mesangial Cell
MEF2C,Mesangial Cell
MFGE8,Mesangial Cell
MGST3,Mesangial Cell
MSN,Mesangial Cell
MUSTN1,Mesangial Cell
MYH11,Mesangial Cell
MYL6,Mesangial Cell
MYL9,Mesangial Cell
MYLIP,Mesangial Cell
MYLK,Mesangial Cell
MYO1B,Mesangial Cell
NAB1,Mesangial Cell
NDRG2,Mesangial Cell
NDUFA4L2,Mesangial Cell
NOSTRIN,Mesangial Cell
NOTCH3,Mesangial Cell
NRARP,Mesangial Cell
NRP1,Mesangial Cell
OAZ2,Mesangial Cell
PCP4L1,Mesangial Cell
PDGFA,Mesangial Cell
PDGFRB,Mesangial Cell
PFN1,Mesangial Cell
PHTF2,Mesangial Cell
PKIG,Mesangial Cell
PLK2,Mesangial Cell
PLS3,Mesangial Cell
PLSCR2,Mesangial Cell
PPP1R12A,Mesangial Cell
PREX2,Mesangial Cell
PSEN2,Mesangial Cell
PTP4A3,Mesangial Cell
RAP1A,Mesangial Cell
RAP2A,Mesangial Cell
RAPGEF4,Mesangial Cell
RASGRP2,Mesangial Cell
RASL11A,Mesangial Cell
RBPMS,Mesangial Cell
RCAN2,Mesangial Cell
RERGL,Mesangial Cell
RGS2,Mesangial Cell
RGS3,Mesangial Cell
RGS5,Mesangial Cell
RNF144A,Mesangial Cell
ROBO1,Mesangial Cell
RSU1,Mesangial Cell
S100A13,Mesangial Cell
S100A6,Mesangial Cell
SERINC3,Mesangial Cell
SERPINI1,Mesangial Cell
SFRP2,Mesangial Cell
SH2B3,Mesangial Cell
SLC12A2,Mesangial Cell
SLC6A6,Mesangial Cell
SORBS2,Mesangial Cell
SPARCL1,Mesangial Cell
SPTBN1,Mesangial Cell
STEAP4,Mesangial Cell
SYNPO,Mesangial Cell
TAGLN,Mesangial Cell
TAGLN2,Mesangial Cell
TGFB2,Mesangial Cell
TINAGL1,Mesangial Cell
TM4SF1,Mesangial Cell
TNS1,Mesangial Cell
TNS3,Mesangial Cell
TPM1,Mesangial Cell
TPM2,Mesangial Cell
TPPP3,Mesangial Cell
UBA2,Mesangial Cell
VASP,Mesangial Cell
VCL,Mesangial Cell
VIM,Mesangial Cell
ZFHX3,Mesangial Cell
ZYX,Mesangial Cell
RTL8A,Endothelial Cell
RFLNA,Endothelial Cell
INKA1,Endothelial Cell
TLNRD1,Endothelial Cell
CAVIN3,Endothelial Cell
CAVIN2,Endothelial Cell
SELENOM,Endothelial Cell
CEMIP2,Endothelial Cell
AOPEP,Podocyte
CCN2,Podocyte
RIPOR1,Podocyte
CAVIN1,Podocyte
ELOB,Podocyte
METTL26,Tubule Cell
NAT8F1,Tubule Cell
NAT8F6,Tubule Cell
RIDA,Tubule Cell
MCUB,Fibroblast
IFI213,Monocyte
SELENOP,Monocyte
RAB5IF,Granulocyte
JAML,Granulocyte
CSTDC4,Granulocyte
ELP1,Granulocyte
TENT5C,B Cell
GM30211,B Cell
GM31243,B Cell
MINDY1,Collecting Duct Intercalated Cell
ADGRF5,Collecting Duct Intercalated Cell
ATP5MD,Collecting Duct Intercalated Cell
APELA,Collecting Duct Principal Cell
SLF2,Cortical Cell
SNHG18,Medullary Cell
EPB41L2,Medullary Cell
RFLNB,Medullary Cell
CAVIN2,Medullary Cell
SELENOS,Medullary Cell
CCN2,Mesangial Cell
TCAF1,Mesangial Cell
ADGRG6,Mesangial Cell
CARMN,Mesangial Cell
LTO1,Mesangial Cell
CAVIN3,Mesangial Cell
CAVIN1,Mesangial Cell
TNS2,Mesangial Cell
MAP3K20,Mesangial Cell
SLC12A3,Tubule Cell
TMEM52B,Tubule Cell
CLU,Tubule Cell
HSD11B2,Collecting Duct Principal Cell
CLDN4,Collecting Duct Principal Cell
LGALS3,Collecting Duct Principal Cell
ZFP36,Collecting Duct Principal Cell
IFRD1,Collecting Duct Principal Cell
CD24A,Collecting Duct Principal Cell
TMSB10,T Cell
FBP1,Tubule Cell
HAO2,Tubule Cell
ATP6V1G3,Collecting Duct Intercalated Cell
CAR2,Collecting Duct Intercalated Cell
EGF,Thick Ascending Limb Of The Loop Of Henle
SLC12A1,Thick Ascending Limb Of The Loop Of Henle
PPP1R1A,Thick Ascending Limb Of The Loop Of Henle
KNG2,Thick Ascending Limb Of The Loop Of Henle
CTSS,Monocyte
H2-AA,Monocyte
H2-EB1,Monocyte
APELA,Endothelial Cell
AQP1,Endothelial Cell
CRYAB,Endothelial Cell
CD52,Monocyte
H2-AA,Monocyte
H2-EB1,Monocyte
TMSB10,Monocyte
LY6C1,Endothelial Cell
IFITM3,Endothelial Cell
LY6D,Ureteric Epithelium Cell
UPK3A,Ureteric Epithelium Cell
UPK1A,Ureteric Epithelium Cell
PSCA,Ureteric Epithelium Cell
UPK2,Ureteric Epithelium Cell
KRT19,Ureteric Epithelium Cell
SPRR1A,Ureteric Epithelium Cell
S100A6,Ureteric Epithelium Cell
KRT18,Ureteric Epithelium Cell
KRT7,Ureteric Epithelium Cell
KRT8,Ureteric Epithelium Cell
GSTO1,Ureteric Epithelium Cell
LGALS3,Ureteric Epithelium Cell
CD9,Ureteric Epithelium Cell
HBEGF,Epithelial Cell
CRYAB,Epithelial Cell
CD24A,Epithelial Cell
KRT8,Epithelial Cell
SDC4,Epithelial Cell
IFRD1,Epithelial Cell
S100A9,Monocyte
S100A8,Monocyte
TYROBP,Monocyte
SRGN,Monocyte
IGKC,B Cell
